uid1	uid2	weight
608193539	1328503049	1
608193539	897750098	1
608193539	100001065211356	1
608193539	1585125970	1
608193539	623764805	1
1095902725	1585125970	1
1095902725	1424724587	1
1095902725	1434465613	1
697545734	1302730629	1
697545734	100000523153161	1
697545734	805644682	1
697545734	100002904201228	1
697545734	1484063117	1
697545734	1231571476	1
697545734	1542046872	1
697545734	100000257184730	1
697545734	1535145889	1
697545734	100002133748936	1
697545734	100000442973751	1
697545734	100004338640952	1
697545734	1499263425	1
697545734	1297997256	1
697545734	1425776972	1
697545734	1585125970	1
697545734	1179036883	1
697545734	1354387028	1
697545734	1659503958	1
697545734	1583371864	1
697545734	1541409370	1
697545734	1465542499	1
697545734	1731748316	1
697545734	100000403926111	1
697545734	100000569553249	1
697545734	1344921699	1
697545734	1187410672	1
697545734	100001981626617	1
697545734	100001284640381	1
1328392108	1585125970	1
100002904201228	100004338640952	1
100002904201228	100006667627503	1
100000433766415	100002133748936	1
100000433766415	100000569553249	1
100000433766415	100004338640952	1
100000482383891	100002854744801	1
100000482383891	100001373962666	1
100000482383891	100000578884673	1
672628756	100000569553249	1
672628756	715273122	1
672628756	1393352369	1
672628756	1297997256	1
672628756	100000346253194	2.1641222996
672628756	1484063117	1
672628756	100000422736493	1
672628756	672758001	2.16615873755
672628756	1585125970	1
672628756	1231571476	2.16296913663
672628756	1408609238	2.16407330936
672628756	1410131225	2.16337495006
680099861	715273122	1
680099861	1585125970	1
680099861	1583371864	1
680099861	748963482	1
680099861	100001284640381	1
680099861	748771615	1
705771032	100001981626617	1
705771032	1585125970	1
705771032	100002375388238	1
705771032	1525221175	1
1552345178	100000471291161	1
1552345178	1585125970	1
1552345178	10203691774996017	1
100000246619166	100000582553673	1
1595256863	100000377673327	1
1282025509	1663428681	1
1282025509	1585125970	1
1282025509	100000751959245	3.23170729371
1282025509	100000208751151	1
1119256839	1526231947	1
1119256839	1628973322	1
1119256839	1424724587	1
1119256839	1585125970	1
1119256839	1434465613	1
1119256839	1498635154	1
1119256839	1516252771	1
1119256839	1336043672	1
1119256839	1617340089	1
1119256839	1407062063	1
1119256839	1473401469	1
1119256839	1551173790	1
1514750510	1585125970	1
100001624471599	100003131935860	1
663600689	1526231947	1
663600689	1095902725	1
663600689	1119256839	1
663600689	1424724587	1
663600689	1585125970	1
663600689	1434465613	1
663600689	1424358033	1
663600689	1498635154	1
663600689	1336043672	1
663600689	1407062063	1
663600689	100001065211356	1
768498227	1467442000	1
768498227	1230679907	1
768498227	1366721509	1
768498227	1342444465	1
768498227	1663428681	1
768498227	791763800	1
768498227	100000845732145	1
768498227	1585125970	1
768498227	1453381816	1
768498227	100001639216058	1
768498227	1843226299	1
100000442973751	100002133748936	1
1528135224	100002904201228	2.55336924874
1528135224	1585125970	1
1528135224	100003131935860	1
1528135224	100001624471599	1
726263957	1585125970	1
100000578884673	100002854744801	1
1457983414	1585125970	1
100000582553673	100001817018452	2.78140430113
1585125970	100004419210243	1
1585125970	100001743407623	1
1585125970	100000257541129	1
1585125970	100002904201228	1
1585125970	100000433766415	1
1585125970	100000482383891	1
1585125970	100002151140698	1
1585125970	100000246619166	1
1585125970	1595256863	1
1585125970	100001624471599	1
1585125970	100007885508656	1
1585125970	10203691774996017	1
1585125970	100000442973751	1
1585125970	100004338640952	1
1585125970	100001547991101	1
1585125970	100000578884673	1
1585125970	1618060129	1
1585125970	100000582553673	1
1585125970	100002375388238	1
1585125970	100001817018452	1
1585125970	1622191196	1
1585125970	100001586745949	1
1585125970	100000403926111	1
1585125970	100004005888609	1
1585125970	100003555214947	1
1585125970	100002124233324	1
1585125970	100000422736493	1
1585125970	100000045321327	1
1585125970	100003131935860	1
1585125970	100001284640381	1
1585125970	1780599935	1
1585125970	100001911589508	1
1585125970	100000766269068	1
1585125970	1614127725	1
1585125970	1797720215	1
1585125970	100000377673327	1
1585125970	100000086307485	1
1585125970	100000527614629	1
1585125970	100000548623527	1
1585125970	1602755757	1
1585125970	100001576031005	1
1585125970	1617340089	1
1585125970	100002965227706	1
1585125970	1843226299	1
1585125970	100000641996988	1
1585125970	1594260676	1
1585125970	100002133748936	1
1585125970	100000751959245	1
1585125970	100002854744801	1
1585125970	100001662339814	1
1585125970	100000283963121	1
1585125970	1666223352	1
1585125970	100001981626617	1
1585125970	1644908806	1
1585125970	100000523153161	1
1585125970	1628973322	1
1585125970	100000858456331	1
1585125970	100000635016978	1
1585125970	100000129072915	1
1585125970	1619460740	1
1585125970	100000208751151	1
1585125970	100000248112924	1
1585125970	100000095530970	1
1585125970	100000316095780	1
1585125970	100001065211356	1
1585125970	1654943022	1
1585125970	1759784240	1
1585125970	100000845732145	1
1585125970	1602417460	1
1585125970	1623275317	1
1585125970	1686766391	1
1585125970	1629375284	1
1585125970	100000581184827	1
1585125970	100000346253194	1
1585125970	100000231543614	1
1585125970	1607341877	1
1585125970	1659943748	1
1585125970	1647621958	1
1585125970	100003014259015	1
1585125970	100000688941897	1
1585125970	1659503958	1
1585125970	100001214229338	1
1585125970	100005008060766	1
1585125970	100000569553249	1
1585125970	1619461521	1
1585125970	100003357199210	1
1585125970	100001662667632	1
1585125970	1591726455	1
1585125970	1629134712	1
1585125970	100002144830844	1
1585125970	1611201410	1
1585125970	1711774090	1
1585125970	100000830952849	1
1585125970	100000666300821	1
1585125970	100000471291161	8.87615820633
1585125970	100000695438247	1
1585125970	1745601960	1
1585125970	100001373962666	1
1585125970	1594386863	1
1585125970	1663428681	1
1585125970	100001639216058	1
1585125970	1623987134	1
1585125970	100006294912971	1
1585125970	100004072332236	1
1585125970	1814206413	1
1585125970	100006016153554	1
1585125970	1717351895	1
1585125970	1618673625	1
1585125970	100000257184730	1
1585125970	1731748316	2.42163423639
1585125970	100002447883744	1
1585125970	100002567128043	1
1585125970	100006667627503	1
1585125970	100001644732840	1
1585125970	100000651472379	1
1465542499	100000569553249	1
1465542499	1499263425	1
1465542499	100002133748936	1
1465542499	100000346253194	1
1465542499	1585125970	1
1465542499	1731748316	4.06308843931
1354387028	1499263425	3.14850990952
1354387028	100000569553249	1
1354387028	100002133748936	1
1354387028	1585125970	1
1354387028	100001981626617	1
1354387028	1731748316	1
1354387028	100001284640381	1
1354387028	100000403926111	1
785366101	1585125970	1
785366101	1568529403	3.86834024132
555189846	697545734	1
555189846	1484063117	1
555189846	1585125970	1
555189846	1528826099	1
555189846	100000442973751	1
555189846	1583371864	1
555189846	642370458	1
1583371864	100000569553249	1
1583371864	1585125970	5.1679161559
1583371864	100000433766415	1
1541409370	100000858456331	1
1541409370	100002124233324	1
1541409370	1585125970	1
1541409370	1686766391	1
1541409370	1731748316	1
1541409370	100001284640381	1
1538382939	100001644732840	1
1538382939	100000582553673	1
1538382939	1585125970	1
1538382939	100001817018452	1
1538382939	100000208751151	1
651819101	1467442000	1
651819101	1230679907	1
651819101	100000830952849	1
651819101	1663428681	1
651819101	791763800	1
651819101	100000845732145	6.18033142704
651819101	1585125970	1
651819101	768498227	1
651819101	1453381816	1
651819101	1618673625	6.20425581118
651819101	100001639216058	1
651819101	1843226299	1
100000403926111	100000569553249	1
100000403926111	100000766269068	1
100000403926111	100004072332236	1
100000403926111	100001662339814	1
100000403926111	100000695438247	1
100000403926111	100000523153161	1
100000403926111	100000858456331	1
100000403926111	100002124233324	1
100000403926111	100002904201228	1
100000403926111	100000433766415	1
100000403926111	100000482383891	1
100000403926111	100001981626617	1
100000403926111	100001214229338	1
1344921699	1659943748	1
1344921699	1585125970	1
1344921699	1731748316	4.07367164367
1344921699	1526670301	1
1344921699	100001284640381	1
651152996	1585125970	1
1424724587	1585125970	1
1424724587	1526231947	1
1424724587	100001065211356	1
1424724587	1498635154	1
1508616813	1585125970	1
1508616813	100006667627503	1
1408401940	1585125970	1
1408401940	100000403926111	1
1408401940	100003131935860	1
1408401940	100001624471599	1
100000377673327	100001586745949	1
1426520176	1585125970	1
1110382705	1745601960	1
1110382705	1585125970	1
100000471291161	10203691774996017	1
1277862516	1346916216	1
1277862516	1585125970	1
1277862516	1654943022	1
1077138040	1346916216	1
1077138040	100000257541129	1
1077138040	1585125970	1
1077138040	1654943022	1
1231571476	100000569553249	1
1231571476	1585125970	1
1231571476	1484063117	1
575012474	1585125970	1
575012474	1622191196	1
1513271420	1585125970	1
100001284640381	100001373962666	1
100001284640381	100002124233324	1
100001284640381	100001662339814	1
1780599935	100006016153554	1
632917120	100002133748936	1
632917120	100002904201228	1
632917120	1585125970	1
632917120	672628756	1
632917120	1408609238	1
632917120	1602417460	1
596652907	100006016153554	1
596652907	100002854744801	1
596652907	1611201410	1
596652907	100003555214947	1.95407729377
596652907	1659943748	1
596652907	697545734	1
596652907	1484063117	1
596652907	1585125970	1
596652907	672628756	1
596652907	598968790	1
596652907	1797720215	1
596652907	705771032	1
596652907	679281828	1
596652907	1731748316	1
596652907	100000086307485	1
596652907	100000403926111	1
703915804	100001373962666	1
703915804	1659943748	5.93189044324
703915804	1585125970	1
1094426761	100000316095780	1
1094426761	100000766269068	1
1094426761	1585125970	1
1094426761	1558276911	4.81364711353
1094426761	100000635016978	1
1094426761	1486376435	1
1094426761	1526670301	1
1437570698	100000471291161	1
1437570698	1585125970	1
1039917195	1745601960	1
1039917195	100000569553249	1
1039917195	1585125970	1
1039917195	1388412666	1
1048568972	1377851303	1
1048568972	1195444587	6.34882404069
1048568972	1469799566	1
1048568972	10203691774996017	6.18791848792
1048568972	1585125970	9.59223734594
1048568972	1422595987	18.2135388324
1048568972	100000471291161	11.2622243264
1048568972	1552345178	6.21052631579
1469799566	100000471291161	1
1469799566	1552345178	1
1469799566	1585125970	1
1469799566	10203691774996017	1
646502543	715273122	1
646502543	697545734	1
646502543	1731748316	1
646502543	100002904201228	1
646502543	748963482	1
646502543	1585125970	1
646502543	694545397	1
646502543	1414964727	1
646502543	705771032	1
646502543	100001981626617	1
646502543	1541409370	1
646502543	1513271420	1
646502543	100001284640381	1
646502543	100000403926111	1
1424358033	1498635154	1
1424358033	1424724587	1
1424358033	1585125970	1
717193363	1585125970	1
1571010196	1585125970	1
1571010196	100000316095780	1
1105921646	1585125970	1
1331863191	1647621958	1
1331863191	100006667627503	1
1331863191	1508616813	1
1331863191	100001624471599	1
1331863191	1372937936	1
1331863191	1585125970	11.1849740274
1331863191	1408401940	1
1331863191	1342187375	3.20601564308
1336043672	1526231947	1
1336043672	1628973322	1
1336043672	1424724587	1
1336043672	1585125970	1
1336043672	1434465613	1.69887053869
1336043672	1498635154	1
1336043672	1516252771	1
1336043672	1617340089	1
1336043672	1407062063	1.28732185371
1336043672	1473401469	1
1336043672	1551173790	1
748963482	100002124233324	1
748963482	1585125970	1
748963482	1408609238	3.17646947717
748963482	1525221175	1
748963482	1541409370	1
748963482	1731748316	1
748963482	100001284640381	1
658494575	1585125970	1
658494575	100000651472379	1
550477980	1526231947	1
550477980	686094791	1
550477980	1119256839	1
550477980	1628973322	1.25483926608
550477980	1424724587	1
550477980	1585125970	1
550477980	648957902	1
550477980	1434465613	1
550477980	663600689	1
550477980	1498635154	1
550477980	1516252771	1
550477980	1336043672	1
550477980	1407062063	1
550477980	1473401469	1.11676677598
550477980	1551173790	1.62153048833
1416563357	1745601960	1
1416563357	1585125970	1
1416563357	1731748316	1
1416563357	1484063117	1
1416563357	100006016153554	1
1551173790	100002447883744	1
1551173790	1617340089	1
1551173790	1585125970	1
1551173790	1628973322	1
1313936837	100000569553249	1
1313936837	1585125970	1
679281828	1585125970	1
679281828	1525221175	1
100000527614629	100001586745949	1.11853903815
100000548623527	100002133748936	1
716989724	1745601960	1
716989724	1585125970	1
686094791	1498635154	1
686094791	1424724587	1
686094791	1585125970	1
1602755757	100000651472379	1
1393352369	100002447883744	1
1393352369	1499263425	1
1393352369	100003555214947	1
1393352369	1659943748	1
1393352369	100001373962666	1
1393352369	1484063117	1
1393352369	1594386863	1
1393352369	1585125970	1
1393352369	1513271420	1
1393352369	1416563357	1
1393352369	1614127725	1
1453381816	100000845732145	4.16106981737
1453381816	1663428681	4.12310023302
1453381816	1467442000	1
1453381816	100000830952849	1
1453381816	1585125970	1
1453381816	1618673625	1
1453381816	100001639216058	1
1453381816	1843226299	4.15763514188
1617340089	1628973322	1
651585216	1745601960	1
651585216	1039917195	1
651585216	672758001	1
651585216	1585125970	1
651585216	1623275317	1
651585216	1388412666	1
100002133748936	100004338640952	1
1591726455	1659943748	1
1591726455	100000231543614	21.7781580229
1591726455	1717351895	1
1372937936	1647621958	1
1372937936	100001624471599	1
1372937936	1585125970	1
1372937936	1408401940	1
1372937936	1528135224	1
1372937936	100003131935860	1
1179036883	100000569553249	1
1179036883	1585125970	1
1179036883	1611201410	1
1060368596	100000569553249	1
1060368596	1438393252	1
1060368596	1414964727	1
1060368596	1297997256	1
1060368596	1425776972	1
1060368596	1525221175	1
1060368596	1129909612	1
1060368596	1532377551	1
1060368596	100004338640952	1
1060368596	1585125970	1
1060368596	1659503958	1
1060368596	1686766391	1
1060368596	1528135224	1
1060368596	100000257184730	1
1060368596	1567274463	9.75713755389
1060368596	100000403926111	1
1510208213	1585125970	1
1510208213	1659943748	1
666327766	1377851303	1
666327766	1195444587	1
666327766	1048568972	1
666327766	10203691774996017	1
666327766	1585125970	5.52502566957
666327766	1422595987	1
666327766	100000471291161	1
666327766	1552345178	1
1463412857	1585125970	1
1463412857	1731748316	1
1377728291	100000845732145	1
1377728291	1585125970	1
1539714784	1585125970	1
1539714784	1659943748	1
1515796705	1585125970	1
1216208107	100000569553249	1
1216208107	100001981626617	1
1216208107	1585125970	1
1216208107	100004338640952	1
1216208107	1686766391	1
1113437421	100004419210243	1
1113437421	1282025509	2.80783285265
1113437421	100000751959245	2.80978256727
1113437421	100000208751151	1
1113437421	1585125970	1
1113437421	1538382939	4.60635607898
1473401469	1585125970	1
1473401469	1516252771	1
1473401469	1628973322	2.4043529213
1473401469	1551173790	1
1187410672	100004338640952	1
1187410672	100000569553249	1
1187410672	1585125970	1
1187410672	100002904201228	1
1187410672	1532377551	1
672758001	100000569553249	1
672758001	715273122	1
672758001	1499263425	1
672758001	100002133748936	1
672758001	805644682	1
672758001	1216208107	1
672758001	100002124233324	1
672758001	1484063117	1
672758001	100000422736493	1
672758001	1354387028	1
672758001	1585125970	1
672758001	1231571476	1
672758001	1408609238	1
672758001	1410131225	1
672758001	1541409370	1
672758001	1731748316	1
672758001	100001284640381	1
672758001	748771615	1
1528826099	100002133748936	1
1528826099	100000569553249	1
1528826099	1585125970	1
1528826099	1567274463	1
1528826099	100000433766415	1
606077175	1585125970	1
606077175	768498227	1
100000523153161	100001373962666	1
100000523153161	100002144830844	3.9387848352
100001981626617	100004338640952	1
1388412666	1745601960	1
1388412666	100000569553249	1
1388412666	1585125970	1
1460492028	1585125970	1
1475979005	100001981626617	1
1475979005	1585125970	1
598968790	715273122	1
598968790	1659943748	1
598968790	1629375284	1
598968790	686094791	1
598968790	100000523153161	1
598968790	1484063117	1
598968790	648957902	1
598968790	766085549	1
598968790	672758001	1
598968790	1498635154	1
598968790	1585125970	1
598968790	1408609238	1
598968790	1410131225	1
598968790	705771032	1
598968790	672628756	1
598968790	652176186	1
598968790	100000651472379	1
598968790	1731748316	1
598968790	1541409370	1
598968790	748771615	1
1644908806	1731748316	1
1185357063	1516252771	1
1185357063	1526231947	1
1185357063	1407062063	1
1185357063	1585125970	1
1185357063	1336043672	1
1185357063	1551173790	1
1366526117	1585125970	1
1366526117	1619460740	1.43174497161
1328503049	1585125970	1
