UID1	UID2	NUM_POSTS	DURATION
1408609238	100001662339814	0	0
1408609238	672758001	1	410357
1408609238	1425776972	0	0
1408609238	652176186	0	0
1408609238	532286755	0	0
1408609238	1731748316	0	0
1408609238	748771615	0	0
1408609238	632917120	0	0
1408609238	672628756	0	0
1408609238	1484063117	0	0
1408609238	598968790	0	0
1408609238	715273122	0	0
1408609238	100001284640381	0	0
1408609238	1410131225	0	0
1408609238	100002124233324	0	0
1408609238	748963482	0	0
1408609238	1417818496	0	0
1408609238	10202887345656400	0	0
1408609238	1541409370	0	0
1231571476	10202887345656400	0	0
1231571476	100000569553249	0	0
1231571476	672628756	0	0
1231571476	1484063117	0	0
1231571476	672758001	0	0
1231571476	805644682	0	0
1231571476	697545734	0	0
652176186	1408609238	0	0
652176186	672758001	0	0
652176186	647091579	0	0
652176186	532286755	0	0
652176186	10202887345656400	0	0
652176186	672628756	0	0
652176186	1484063117	0	0
652176186	598968790	0	0
652176186	694595874	0	0
652176186	648957902	0	0
1595256863	694545397	0	0
1595256863	10202887345656400	0	0
1595256863	100000377673327	0	0
1595256863	1425776972	0	0
716989724	10202887345656400	0	0
716989724	1745601960	0	0
100003014259015	575604614	0	0
100003014259015	10202887345656400	0	0
100003014259015	100000248112924	0	0
100003014259015	870195595	0	0
100003014259015	100005008060766	0	0
1663428681	1230679907	0	0
1663428681	1843226299	0	0
1663428681	768498227	0	0
1663428681	100000845732145	0	0
1663428681	1366721509	0	0
1663428681	1618673625	0	0
1663428681	100001639216058	0	0
1663428681	1282025509	0	0
1663428681	10202887345656400	0	0
1663428681	791763800	0	0
1663428681	651819101	0	0
1663428681	1467442000	0	0
1663428681	1453381816	0	0
1484063117	1583371864	0	0
1484063117	1408609238	0	0
1484063117	672758001	0	0
1484063117	100002133748936	0	0
1484063117	1231571476	0	0
1484063117	652176186	0	0
1484063117	532286755	0	0
1484063117	697545734	0	0
1484063117	596652907	0	0
1484063117	1602417460	0	0
1484063117	100000569553249	0	0
1484063117	598968790	0	0
1484063117	715273122	0	0
1484063117	100000433766415	0	0
1484063117	100000346253194	0	0
1484063117	100001981626617	0	0
1484063117	1499263425	0	0
1484063117	1416563357	0	0
1484063117	555189846	0	0
1484063117	1525221175	0	0
1484063117	1528826099	0	0
1484063117	100004338640952	0	0
1484063117	1614127725	0	0
